,Sp..0,Alchornea.latifolia,Anthurium.scandens,Byrsonima.coriacea,Casearia.arborea,Cecropia.schreberiana,Clusia.rosea,Cupania.americana,Dendropanax.arboreus,Ficus.spp.,Guarea.guidonia,Henriettea.fascicularis,Inga.laurina,Inga.vera,Miconia.affinis,Miconia.prasina,Miconia.serrulata,Myrcia.splendens,Myrcine.coriacea,Ocotea.leucoxylon,Phoradendron.spp.,Psychotria.berteroana,Schefflera.morototoni,Tournefortia.hisutissima,vine
Coereba_flaveola,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Patagioenas_squamosa,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0
Euphonia_musica,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Icterus_dominicensis,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Loxigilla_portoricensis,0,5,1,1,2,10,0,7,0,0,34,4,0,1,4,7,0,2,0,0,1,1,0,0,0
Margarops_fuscatus,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Molothrus_bonariensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nesospingus_speculiferus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spindalis_portoricensis,0,0,0,1,0,12,0,0,1,0,0,1,0,2,0,15,1,5,1,0,0,3,14,1,1
Tiaris_bicolor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todus_mexicanus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_plumbeus,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0
Tyrannus_dominicensis,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vireo_altiloquus,1,1,0,2,1,1,7,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Zenaida_aurita,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
