,Alchornea.latifolia,Andira.inermis,Anthurium.scandens,Buchenavia.capitata,Casearia.arborea,Cecropia.schreberiana,Citrus.sinensis,Clusia.rosea,Coffea.arabica,Cordia.sulcata,Dendropanax.arboreus,Dendropemon.bicolor,Ficus.spp.,Guarea.guidonia,Henriettea.fascicularis,Inga.laurina,Inga.vera,Miconia.affinis,Miconia.racemosa,Miconia.serrulata,Momordica.charantia,Musa.acuminata,Myrcine.coriacea,Palicourea.crocea,Palicourea.guianensis,Philodendron.angustatum,Phoradendron.spp.,Piper.sp.,Schefflera.morototoni,Solanum.rugosum,Syzigium.jambos,Tilandsia.sp.,vine,Zanthoxylum.martinicensis
Coereba_flaveola,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Patagioenas_squamosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Dendroica_caerulescens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendroica_tigrina,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Euphonia_musica,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,55,0,1,0,0,0,0,0
Icterus_dominicensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxigilla_portoricensis,14,0,0,1,0,6,0,0,1,0,0,1,0,17,0,0,0,0,1,0,0,4,1,1,2,0,9,0,1,0,3,0,0,1
Margarops_fuscatus,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Melanerpes_portoricensis,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myiarchus_antillarum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nesospingus_speculiferus,0,0,0,0,1,6,1,1,0,0,0,3,4,5,0,0,8,10,2,12,0,3,2,0,1,1,3,0,4,0,1,3,1,0
Spindalis_portoricensis,3,1,1,0,1,29,1,0,0,28,1,0,34,0,0,4,0,2,0,6,0,1,0,0,0,0,10,0,56,0,0,0,0,0
Tiaris_bicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Todus_mexicanus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannus_caudifasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tyrannus_dominicensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Vireo_altiloquus,3,2,0,1,0,4,0,11,2,0,0,0,1,14,0,1,1,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0
Vireo_griseus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vireo_latimeri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenaida_asiatica,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
