,Alchornea.latifolia,Anthurium.scandens,Ardisia.obovata,Bursera.simaruba,Cecropia.schreberiana,Chrysophyllum.argenteum,Clusia.gundlachi,Clusia.rosea,Comocladia.glabra,Cupania.americana,Dendropemon.bicolor,Ficus.spp.,Guapira.fragrans,Guarea.guidonia,Hyeronima.clusioides,Margravia.rectiflora,MYCE,Ocotea.coriacea,Persea.americana,Petitia.dominguensis,Phoradendron.spp.,RASP,Roystonea.borinquena,Syzigium.malaccensis,Zanthoxylum.martinicensis
Coereba_flaveola,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagioenas_squamosa,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,11,0,0
Euphonia_musica,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Loxigilla_portoricensis,1,0,0,1,1,0,1,3,1,6,0,1,0,13,0,0,1,0,0,0,0,0,0,0,0
Margarops_fuscatus,0,0,0,0,0,1,2,3,0,0,0,1,1,11,0,1,0,6,1,0,0,0,0,1,1
Molothrus_bonariensis,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myiarchus_antillarum,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spindalis_portoricensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
Turdus_plumbeus,0,0,0,0,1,0,0,0,0,4,0,0,0,4,0,1,0,4,0,0,0,1,2,0,0
Tyrannus_caudifasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Tyrannus_dominicensis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Vireo_altiloquus,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vireo_latimeri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
