,Alchornea.latifolia,Casearia.sylvestris,Cecropia.schreberiana,Citrus.sinensis,Coffea.arabica,Dendropanax.arboreus,Ficus.spp.,Guarea.guidonia,Inga.vera,Miconia.laevigatta,Miconia.prasina,Momordica.charantia,Murraya.paniculata,Musa.acuminata,Ocotea.floribunda,Phytolacca.rivinoides,Piper.amalaga,Roystonea.borinquena,Schefflera.morototoni,Solanum.rugosum,Tournefortia.hisutissima
Coereba_flaveola,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
Patagioenas_squamosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Euphonia_musica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icterus_dominicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Loxigilla_portoricensis,2,0,4,0,0,3,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0
Melanerpes_portoricensis,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Myiarchus_antillarum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nesospingus_speculiferus,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Spindalis_portoricensis,0,0,17,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,7,1,1
Turdus_plumbeus,0,0,2,0,0,1,2,0,0,0,0,0,0,0,3,1,0,0,4,0,1
Tyrannus_caudifasciatus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannus_dominicensis,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0
Vireo_altiloquus,3,0,5,1,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0
Vireo_griseus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vireo_latimeri,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
