,Afrocrania.volkensii,Allophylus.abyssinicus,Aningeria.adolfi.friedericii,Anthocleista.grandiflora,Aphloia.theiformis,Asparagus.setaceus,Aulacocalyx.diervilloides,Bequaertiodendron.natalense,Bersama.abyssinica,Blighia.unijugata,Bridelia.brideliifolia,Bridelia.micrantha,Canthium.gueinzii,Carvalhoa.campanulata,Casearia.battiscombei,Cassine.aethiopica,Celtis.africana,Celtis.gomphophylla,Chassalia.parvifolia,Chionanthus.battiscombei,Chrysophyllum.gorungosanum,Clausena.anisata,Clerodendrum.johnstonii,Clerodendrum.quadrangulatum,Clutia.abyssinica,Coffea.ligustroides,Cola.greenwayi,Croton.macrostachyus,Croton.sylvaticus,Cryptocarya.liebertiana,Cussonia.spicata,Cyphostemma.kilimandscharicum,Cyphostemma.masukuense,Dendrophthoe.pendens,Diospyros.abyssinica..chapmaniorum,Diospyros.mespiliformis,Diospyros.whyteana,Dombeya.torrida,Dracaena.afromontana,Dracaena.usambarensis,Drypetes.gerrardii,Ehretia.cymosa,Ensete.ventricosum,Erythrococca.hirta,Euclea.divinorum,Eugenia.capensis,Ficus.capensis,Ficus.exasperata,Ficus.ingens,Ficus.lutea,Ficus.polita,Ficus.sansibarica,Ficus.sycomorus,Ficus.thonningii,Ficus.vallis.choudae,Galiniera.caffeoides,Garcinia.kingii,Halleria.lucida,Harungana.madagascariensis,Ilex.mitis,Jasminum.abyssinicum,Juniperus.procera,Kiggelaria.africana,Landolphia.buchananii,Lepidotrichilia.volkensii,Macaranga.capensis,Macaranga.kilimandscharica,Maesa.lanceolata,Maytenus.acuminata,Maytenus.heterophylla,Myrianthus.holstii,Myrica.salicifolia,Neoboutonia.macrocalyx,Ochna.stolzii,Ocotea.usambarensis,Olea.africana,Olea.capensis,Olina.rochetiana,Osyris.lanceolata,Parinari.curatellifolia,Parinari.excelsa,Phragmanthera.usuiensis,Pittosporum.viridiflorum,Podocarpus.latifolius,Polyscias.fulva,Prunus.africana,Psychotria.ealaensis,Psychotria.mahonii,Psychotria.zombamontana,Rapanea.melanophloeos,Rauvolfia.caffra,Rhamnus.prinoidus,Rhoicissus.tridentata,Rhus.longipes,Rubus.ellipticus,Rutidea.fuscescens,Rutidea.orientalis,Rytigynia.adenodonta,Sapium.ellipticum,Schefflera.abyssinica,Schefflera.umbellifera,Scolopia.stolzii,Solanum.torvum,Stephania.abyssinica,Syzygium.cordatum,Syzygium.guineenses,Tapinantus.bipartitus,Tapinantus.subulatus,Trema.orientalis,Tricalysia.acocantheroides,Tricalysia.verdcourtiana,Trichilia.dregeana,Uapaca.kirkiana,Uapaca.nitida,Uapaca.sansibarica,Urerea.hypselodendron,Vepris.stolzii,Viscum.nervosum,Viscum.shirense,Xymalos.monospora
Columba_arquatrix,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplopelia_larvata,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treron_australis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Tauraco_livingstonii,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tauraco_schalowi,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
Bycanistes_brevis,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bycanistes_bucinator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pogoniulus_leucomystax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andropadus_milanjensis,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andropadus_tephrolaemus,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
