,Bischhofia.javanica,Ficus.heteropleura,Grewia.multiflora,Guioa.pleuropteris,Homalanthus.alpinus,Macaranga.bicolor,Mallotus.molissima,Strebus.glaber,Homalanthus.rotundifolius,Litsea.quericoides,Macaranga.tanarius,Microcus.stylocarpa,Platea.excelsa,Prunus.fragrans,Syzygium.garciae..Korth.,Syzygium.sp..02,Syzygium.sp..03,Ternstroemia.megacarpa,unidentified.sp..01,Aglaia.sp..01,Canarium.asperum,Dillenia.reifferscheidia,Elaeocarpus.cumingii,Litsea.luzonica,Memexylon.lanceolatum,Myristica.ceylanica,Palaquium.sp..01,Pometia.pinnata,unidentified.sp..02
Aceros_waldeni,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Penelopides_panini,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1
Chalcophaps_indica,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Ducula_bicolor,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1
Ducula_poliocephala,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1
Macropygia_phasianella,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Phapitreron_leucotis,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Ptilinopus_occipitalis,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
Stigmatopelia_chinensis,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rhabdornis_mystacalis,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megalaima_haemacephala,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oriolus_chinensis,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pycnonotus_goiavier,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixos_philippinus,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sarcops_calvus,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
Zosterops_nigrorum,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
