,Pistacia.lentiscus,Olea.europaea,Phillyrea.angustifolia,Rhamnus.lycioides,Smilax.aspera,Rubus.ulmifolius,Myrtus.communis,Daphne.gnidium,Rubia.pregrina,Osyris.alba,Crataegus.monogyna,Lonicera.periclymenum,Asparagus.aculeatus,Tamus.communis,Pyrus.bourgaeana,Asparagus.aphyllus
Sylvia_atricapilla,13700,1460,960,210,150,40,250,710,270,6,10,10,150,0,10,6
Sylvia_borin,3360,6,150,850,100,140,0,520,380,7,0,20,8,10,0,3
Erithacus_rubecula,3170,310,2,26,8,5,260,5,0,0,0,0,10,0,0,3
Sylvia_melanocephala,490,20,140,480,20,80,20,160,0,4,0,7,20,1,0,1
Turdus_merula,1150,300,370,60,10,90,50,0,1,10,10,10,1,70,10,1
Turdus_philomelos,140,200,2,0,0,0,40,0,0,20,0,0,0,0,0,1
Sylvia_communis,170,0,60,40,0,7,0,20,0,0,0,0,0,0,0,0
Sylvia_hortensis,90,0,30,0,1,4,0,0,0,0,0,0,0,0,0,0
Sylvia_cantillans,210,0,30,30,0,9,1,30,0,0,0,2,0,0,0,0
Ficedula_hypoleuca,410,0,60,20,1,1,0,0,0,0,0,0,0,0,0,0
Phoenicurus_phoenicurus,90,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0
Sylvia_undata,140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Saxicola_torquatus,50,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyanopica_cyanus,120,6,2,1,0,3,10,0,0,0,5,0,0,30,80,0
Luscinia_megarhynchos,50,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0
Muscicapa_striata,110,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
Sturnus_unicolor,610,150,0,0,0,0,20,0,0,0,10,0,0,0,0,0
