,Ehretia.tinifolia,Metopium.browneii,Ficus.padifolia,Talisia.olivaeformis,Neea.psychotrioides
Trogon_citreolus,1,1,1,1,1
Pteroglossus_torquatus,1,1,1,1,1
Melanerpes_aurifrons,1,1,1,1,1
Icterus_gularis,1,1,1,1,1
Ramphastos_sulfuratus,1,1,1,0,1
Melanerpes_pygmaeus,1,1,1,1,0
Tityra_semifasciata,1,1,1,0,1
Megarynchus_pitangua,1,1,1,0,1
Cyanocorax_morio,1,1,1,1,0
Saltator_atriceps,1,1,1,1,0
Tyrannus_melancholicus,1,1,1,0,0
Myiozetetes_similis,1,1,1,0,0
Cyanocorax_yncas,1,1,0,1,0
Cyanocorax_yucatanicus,1,1,0,1,0
Icterus_chrysater,1,1,0,1,0
Dives_dives,1,0,1,1,0
Euphonia_hirundinacea,1,1,1,0,0
Ortalis_vetula,1,1,0,0,0
Pitangus_sulphuratus,1,0,1,0,0
Turdus_grayi,1,0,1,0,0
Icterus_prosthemelas,1,0,0,1,0
Icterus_auratus,1,0,0,1,0
Icterus_mesomelas,1,0,0,1,0
Euphonia_affinis,0,0,1,0,1
Cotinga_amabilis,0,0,1,0,0
