,SP2,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14
Treron_curvirostra,0,0,0,0,0,0,0,0,0,1,1,1
Ducula_badia,0,0,0,0,1,0,0,1,0,1,0,1
Anorrhinus_austeni,1,0,0,0,0,0,0,0,0,1,0,1
Aceros_undulatus,0,0,0,0,0,0,0,0,1,0,1,1
Anthracoceros_albirostris,1,0,0,0,0,1,0,1,1,1,1,1
Buceros_bicornis,0,0,0,0,0,0,0,0,1,0,1,1
Megalaima_lineata,0,1,0,0,0,0,0,0,0,1,1,1
Megalaima_faiostricta,0,0,0,0,0,0,1,0,1,0,0,0
Megalaima_incognita,0,1,0,1,0,0,1,1,0,1,0,1
Megalaima_australis,0,1,0,0,0,0,0,0,0,1,0,0
Pycnonotus_melanicterus,0,0,1,1,0,0,1,0,0,0,0,0
Pycnonotus_finlaysoni,0,1,0,1,0,0,1,0,0,0,0,0
Alophoixus_pallidus,0,1,1,1,0,1,0,0,0,1,0,0
Iole_propinqua,0,1,1,1,0,1,0,0,0,1,0,1
Hemixos_flavala,0,0,0,1,0,0,0,0,0,0,0,0
Oriolus_chinensis,0,0,0,0,0,0,0,0,0,1,1,0
Coracina_melaschistos,0,0,1,0,0,0,0,0,0,0,0,0
Irena_puella,0,0,1,0,0,0,1,0,0,1,1,0
Eumyias_thalassinus,0,1,1,0,0,0,0,0,0,0,0,0
Ampeliceps_coronatus,0,0,0,0,0,0,0,1,0,0,0,0
Gracula_religiosa,0,0,0,0,0,1,1,1,0,1,1,1
Zosterops_palpebrosus,0,0,0,1,0,0,1,0,0,0,0,0
