,Miconia.argentea,Miconia.minutiflora,Miconia.impetiolaris,Miconia.lacera
Leptotila_cassini,1,0,0,0
Mionectes_oleagineus,1,2,1,0
Empidonax_virescens,0,0,0,1
Schiffornis_turdina,0,0,1,0
Manacus_vitellinus,2,0,2,2
Lepidothrix_coronata,5,16,16,17
Pipra_mentalis,24,17,12,16
Catharus_fuscescens,0,0,0,1
Catharus_minimus,0,1,0,2
Catharus_ustulatus,14,6,0,3
Dendroica_pensylvanica,2,0,0,0
Dendroica_striata,1,0,0,0
Seiurus_aurocapilla,0,0,0,1
Euphonia_fulvicrissa,0,0,0,6
Eucometis_penicillata,10,0,1,0
Tachyphonus_luctuosus,13,0,0,0
Habia_fuscicauda,1,0,0,0
Ramphocelus_dimidiatus,1,0,0,0
Oryzoborus_angolensis,1,0,0,0
