,Psychotria.acuminata,Psychotria.brachybotrya,Psychotria.deflexa,Psychotria.emetica,Psychotria.grandis,Psychotria.hoffmannseggiana,Psychotria.horizontalis,Psychotria.limonensis,Psychotria.marginata,Psychotria.pittieri,Psychotria.poeppigiana,Psychotria.psychotrifolia,Psychotria.racemosa
Trogon_rufus,0,0,0,0,0,0,0,0,1,0,0,0,0
Mionectes_oleagineus,0,0,0,0,0,0,1,0,0,0,0,0,0
Empidonax_virescens,0,0,0,0,0,0,1,0,0,0,0,0,0
Schiffornis_turdina,0,0,0,0,0,1,0,0,1,0,0,0,0
Manacus_vitellinus,0,0,0,0,0,1,2,1,10,2,1,0,1
Lepidothrix_coronata,7,2,11,0,0,7,2,0,16,1,3,2,1
Pipra_mentalis,26,1,9,0,2,52,13,21,18,0,6,3,1
Catharus_fuscescens,1,0,0,0,0,1,2,2,7,0,0,0,0
Catharus_minimus,3,0,0,4,0,3,1,0,0,0,0,0,0
Catharus_ustulatus,13,1,5,3,0,3,6,1,3,0,1,0,0
Habia_fuscicauda,0,0,3,0,0,0,0,0,0,0,2,0,0
