,Clusia.trochiformis,Ficus.americana,Miconia.cordata,Clusia.lechleri,Hieronyma.laxiflora,Clusia.sphaerocarpa,Eugenia.sp.,Cecropia.sp.,Miconia.hygrophila,Sapium.sp.,Thibaudia.crenulata,Miconia.cf..brittonii,Hedyosmum.angustifolium,Symplocos.arechea,Dictyocaryum.lamarckianum,Freziera.lanata,Prumnopitys.sp.,Hieronyma.moritziana,Myrsine.coriaceae,Miconia.cf..boliviensis,Dendrophthora.macbridei,Hedyosmum.racemosum,Viburnum.seemenii,Leandra.caracasana,Lepismium.bolivianum,Miconia.plum.fera,Mollinedia.steinbachiana,Palicourea.attenuata,Persea.bilocularis,Solanum.sp.,Guatteria.glauca,Symplocos.colorata,Alchornea.triplinervia,Beilschmiedia.tovarensis
Tangara_xanthocephala,16,14,0,2,9,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mionectes_striaticollis,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Catharus_ustulatus,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aulacorhynchus_coeruleicinctis,0,5,0,0,1,2,4,1,0,0,0,0,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
Anisognathus_somptuosus,8,1,8,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tangara_vassorii,2,2,8,0,0,0,0,0,0,1,1,5,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Eubucco_versicolor,18,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_boliviana,3,5,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chlorospingus_ophthalmicus,3,5,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis_cyanocephala,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Euphonia_xanthogaster,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophonia_cyanea,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Penelope_montagnii,0,2,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diglossa_cyanea,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psarocolius_decumanus,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipreola_intermedia,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis_sayaca,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagioenas_fasciata,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipreola_frontalis,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheucticus_aureoventris,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_albicollis,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomodestes_leucotis,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagioenas_plumbea,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipaugus_uropygialis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anisognathus_igniventris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
