,Clusia.trochiformis,Miconia.cordata,Clusia.sphaerocarpa,Sapium.sp.,Alchornea.triplinervia,Psychotria.carthagenensis,Clusia.lechleri,Symplocos.arechea,Eugenia.sp.,Coussarea.sp.,Dictyocaryum.lamarckianum,Hieronyma.moritziana,Ceroxylon.pityrophyllum,Hedyosmum.racemosum,Hesperomeles.ferruginea,Hieronyma.laxiflora,Myrsine.coriaceae,Guatteria.glauca,Hedyosmum.angustifolium,Symplocos.colorata
Chiroxiphia_boliviana,27,8,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anisognathus_somptuosus,2,8,0,0,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Phyllomyias_sclateri,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangara_vassorii,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulacorhynchus_coeruleicinctis,0,0,0,1,0,0,0,0,2,1,0,2,2,1,0,0,1,1,1,1
Penelope_montagnii,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0
Chlorospingus_ophthalmicus,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mionectes_striaticollis,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Empidonomus_varius,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diglossa_cyanea,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheucticus_aureoventris,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipreola_frontalis,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Psarocolius_atrovirens,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Myioborus_miniatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipaugus_uropygialis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rupicola_peruvianus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tangara_argyrofenges,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubucco_versicolor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangara_xanthocephala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis_cyanocephala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_albicollis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
