,Ficus.cf..lutea,Ficus.cf..thonningii,Prunus.africana,Bridelia.micrantha,Ficus.sur,Manilkara.butugi,Antiaris.toxicaria,Blighia.unijugata,Morus.mesozygia,Trilepisium.madagascariense,Ficus.exasperata,Polyscias.fulva,Cyphostemma.cyphopetalum,Casearia.battiscombei,Harungana.madagascariensis,Lantana.camara,Solanum.mauritianum,Jasminum.fluminense,Carissa.edulis,Cissus.oliveri,Maesa.lanceolata,Pittosporum.viridiflorum,Rhamnus.prinoides,Clerodendrum.capitatum,Toddalia.asiatica,Culcasia.falcifolia,Piper.guineense,Allophylus.abyssinicus,Coffea.eugenioides,Psychotria.peduncularis,Dracaena.fragrans,Rubus.niveus
Pycnonotus_barbatus,128,110,70,54,30,27,62,4,5,0,9,42,9,2,2,7,0,2,8,3,0,6,6,0,0,0,0,0,0,0,0,0
Sylvia_atricapilla,64,23,3,37,8,9,8,7,2,0,21,16,9,1,11,13,6,11,2,2,9,5,5,6,7,0,2,0,0,0,0,0
Cinnyricinclus_leucogaster,1,0,190,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylloscopus_trochilus,30,39,82,0,3,4,12,0,0,0,2,4,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Turdus_pelios,94,11,15,25,1,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0
Andropadus_latirostris,21,33,0,21,9,6,1,15,7,0,0,3,1,0,6,0,0,2,3,3,0,2,0,2,2,2,5,1,1,0,1,0
Zosterops_senegalensis,69,1,0,22,6,3,2,5,0,0,3,6,10,0,3,4,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
Bycanistes_subcylindricus,24,61,0,18,2,12,2,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buccanodon_duchaillui,26,59,0,13,10,0,0,13,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0
Pogoniulus_bilineatus,9,3,1,18,6,0,0,5,0,0,3,2,7,24,8,3,0,6,6,2,0,3,3,1,1,1,0,1,0,0,0,0
Chlorocichla_laetissima,15,12,1,22,2,4,0,6,2,0,0,3,9,2,6,2,1,2,3,2,0,0,0,0,0,4,0,0,0,0,0,0
Gymnobucco_bonapartei,4,19,0,9,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
