,Sambucus.niger,Crategus.monogyna,Rubus.fructiosa,Lonicera.periclymenum,Bryonia.dioecia,Tamus.communis,Solanum.dulcamara,Prunus.spinosa,Rosa.canina,Hedera.helix,Euonymus.europaeus
Turdus_merula,21,53,2,0,0,0,0,10,4,12,1
Turdus_pilaris,0,83,0,0,0,0,0,17,0,0,0
Turdus_iliacus,1,94,0,0,0,0,0,6,0,0,0
Turdus_philomelos,38,30,2,0,0,0,0,0,0,30,0
Parus_palustris,63,0,7,8,16,2,1,0,0,0,6
Parus_caeruleus,90,0,9,2,1,0,0,0,0,0,0
Parus_major,98,0,0,0,2,0,0,0,0,0,0
Aegithalos_caudatus,0,0,0,0,0,0,0,0,0,0,100
Sitta_europaea,67,0,0,0,0,0,35,0,0,0,0
Sylvia_atricapilla,67,0,0,0,0,0,17,0,0,17,0
Erithacus_rubecula,58,0,0,0,0,0,0,0,0,29,15
Columba_palumbus,40,23,0,0,0,0,0,0,10,27,0
Pyrrhula_pyrrhula,20,0,40,0,40,0,0,0,0,0,0
Fringilla_coelebs,84,0,0,0,17,0,0,0,0,0,0
