,Amelanchier.lamarckii,Cornus.sanguinea,Crataegus.monogyna,Crataegus.oxyacantha,Euonymus.europaea,Fragaria.vesca.dom.,Frangula.alnus,Hedera.helix,Ligustrum.vulgare,Lonicera.xylosteum,Malus.domesticus,Prunus.avium,Prunus.avium.duralis,Prunus.domestica,Prunus.padus,Prunus.serotina,Prunus.spinosa,Rhamnus.cathartica,Ribes.rubrum,Rosa.canina,Rubus.fruticosus,Rubus.ideaus,Sambucus.nigra,Sambucus.racemosa,Sorbus.aria,Sorbus.aucuparia,Sorbus.torminalis,Taxus.baccata,Viburnum.lantana,Viburnum.opulus,Viscum.album
Carduelis_chloris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0
Coccothraustes_coccothraustes,3,2,3,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,8,0,0,0
Columba_palumbus,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Corvus_corone,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Erithacus_rubecula,0,2,1,0,2,0,2,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,2,0
Ficedula_hypoleuca,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Fringilla_coelebs,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrulus_glandarius,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,5,34,0,7,0,0,0,0,0
Parus_caeruleus,8,2,2,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,2,0,0,4,3,0,2,0,1,0,0,0
Parus_major,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Parus_montanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Parus_palustris,0,2,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0
Passer_domesticus,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passer_montanus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Phoenicurus_ochruros,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
Phoenicurus_phoenicurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Phylloscopus_collybita,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pica_pica,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
Pyrrhula_pyrrhula,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,33,0,0,0,0,9,0,0,7,0,0,0,12,0
Sitta_europaea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturnus_vulgaris,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0
Sylvia_atricapilla,3,3,0,0,0,0,3,2,0,4,0,2,0,0,2,4,0,3,2,0,1,6,8,6,0,3,0,2,4,3,1
Sylvia_borin,5,0,0,0,0,0,4,0,0,4,0,2,0,0,2,3,0,0,2,0,0,3,10,8,0,2,0,0,4,0,0
Sylvia_communis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0
Sylvia_curruca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Turdus_iliacus,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,26,0,0,0,0,3,0,0,1
Turdus_merula,5,3,7,4,0,7,3,13,4,1,1,2,0,1,4,5,6,5,2,2,0,7,26,15,5,5,5,4,0,4,0
Turdus_philomelos,0,14,4,0,0,0,5,4,0,1,0,1,0,0,0,3,0,6,0,0,0,0,21,20,2,5,6,3,0,4,4
Turdus_pilaris,4,21,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,6,0
Turdus_torquatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turdus_viscivorus,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,4
