,Ficus.drupacea,Talauma.hodgsoni,Litsea.sp.,Actinodaphne.angustifolia,Polyalthia.simiarum,Sterculia.villosa
Hemixos_flavala,26,0,0,0,0,0
Hypsipetes_leucocephalus,24,0,12,0,0,0
Pycnonotus_melanicterus,2,5,1,0,0,1
Oriolus_xanthornus,1,0,0,0,0,0
Megalaima_australis,7,0,0,0,0,0
Megalaima_asiatica,14,0,18,0,0,1
Irena_puella,24,0,0,0,0,0
Oriolus_oriolus,7,0,0,0,0,0
Megalaima_virens,4,0,0,0,0,0
Buceros_bicornis,3,0,0,4,0,0
Phaenicophaeus_tristis,1,0,0,0,0,0
Cochoa_viridis,0,0,1,0,0,0
Ducula_aenea,0,0,0,3,12,0
Gracula_religiosa,16,0,22,0,35,0
Megalaima_lineata,29,0,3,0,1,6
Heterophasia_picaoides,3,0,0,0,0,0
Oriolus_traillii,7,0,0,0,0,0
Ducula_badia,17,0,11,2,33,0
Chloropsis_aurifrons,0,1,0,0,0,0
Anthracoceros_albirostris,2,0,1,0,1,2
Treron_apicauda,40,0,0,0,0,0
Treron_pompadora,18,0,0,0,0,0
Leiothrix_argentauris,6,0,0,0,0,0
Treron_curvirostra,11,0,0,0,0,0
Treron_sphenurus,25,0,0,0,0,0
Alophoixus_flaveolus,65,16,13,0,0,5
Aceros_undulatus,7,0,2,14,9,0
Treron_phoenicopterus,32,0,0,0,0,0
