,PlantSP1,PlantSP2,PlantSP3,PlantSP4,PlantSP5,PlantSP6
Hemixos_flavala,15,0,0,0,0,0
Hypsipetes_leucocephalus,35,10,24,0,0,0
Pycnonotus_melanicterus,19,4,2,0,0,1
Megalaima_asiatica,81,1,19,0,0,0
Megalaima_haemacephala,33,0,0,0,0,0
Irena_puella,8,0,0,0,0,0
Oriolus_oriolus,3,0,0,0,0,0
Megalaima_virens,2,0,0,0,0,0
Ducula_aenea,0,0,0,1,9,0
Gracula_religiosa,7,0,15,0,63,0
Megalaima_lineata,12,1,8,0,0,3
Heterophasia_picaoides,20,0,0,0,0,0
Ducula_badia,23,0,9,0,41,0
Anthracoceros_albirostris,0,0,0,0,1,0
Treron_apicauda,38,0,0,0,0,0
Treron_pompadora,16,0,0,0,0,0
Leiothrix_argentauris,1,0,0,0,0,0
Pycnonotus_cafer,2,7,7,0,0,0
Pycnonotus_jocosus,0,0,4,0,0,5
Alophoixus_flaveolus,31,21,51,0,0,0
Aceros_undulatus,1,0,0,2,4,0
Treron_phoenicopterus,40,0,0,0,0,0
