,Myrsine.coriacea,Ficus.luschnatiana,Coussapoa.microcarpa,Myrsine.lancifolia,Cecropia.glaziovi,Cupania.vernalis,Miconia.pusilliflora,Trema.micrantha,Symplocos.glanduloso.marginata,Miconia.budlejoides,Miconia.valtherii,Leandra.dasytricha,Euterpe.edulis,Myrcia.fallax,Alchornea.triplinervia,Rubus.rosaefolius,Xylopia.brasiliensis,Miconia.racemifera,Schinus.terebinthifolius,Gomidesia.schaueriana,Miconia.latecrenata,Ossaea.amygdaloides,Allophyllus.edulis,Miconia.theaezans,Myrcia.grandiflora,Nectandra.membranacea,Rubus.urticaefolius,Struthanthus.sp,Virola.bicuhyba,Ilex.brevicuspis,Sapium.glandulatum,Tetrorchidium.rubrivenium,Clusia.criuva,Marcgravia.polyantha,Matayba.guianensis,Psychotria.vellosiana,Amaioua.intermedia,Ilex.microdonta,Leandra.pilonensis,Ocotea.puberula,Persea.pyrifolia,Psychotria.longipes,Struthanthus.vulgaris,Alchornea.glandulosa,Fuchsia.regia,Maytenus.robustus,Miconia.cinnamomifolia,Piper.dilatatum,Psidium.cattleianum,Psychotria.suterella,Vassobia.breviflora,Casearia.sylvestris,Hyeronima.alchorneoides,Leandra.australis,Marlierea.reitzii,Miconia.brasiliensis,Miconia.discolor,Miconia.inconspicua,Solanum.variabile,Tournefortia.paniculata,Didymopanax.angustissimum,Gomidesia.affinis,Guapira.opposita,Leandra.laevigata,Leandra.melastomatoides,Leandra.refracta,Myrcia.rufula,Myrcia.sp.1,Myrsine.gardneriana,Myrsine.venesa,Ocotea.bicolor,Phytolacca.dioica,Piper.corintoanum,Protium.heptaphyllum,Psidium.guajava,Rudgea.jasminoides,Solanum.inodorum,Leandra.sabiaensis,Leandra.sp.1,Miconia.cabucu,Miconia.tristis,Mollinedia.boracensis,Ocotea.teleiandra,Psychotria.leiocarpa,Rhipsalis.campos.portuana,Rhipsalis.teres,Solanum.megalochiton,Struthanthus.concinus,Urera.baccifera,Casearia.decandra,Cordia.corymbosa,Eugenia.melanogyna,Ficus.sp.1,Geonoma.gamiova,Inga.marginata,Leandra.regnellii,Miconia.sellowiana,Miconia.sp.1,Myrcia.sp.2,Myrsine.umbellata,Nectandra.cuspidata,Neomitranthes.glomerata,Ocotea.spixiana,Paullinia.uloptera,Philodendron.appendiculatum,Piper.aduncum,Psidium.sp.1,Psychotria.forsteronioides,Rubus.brasiliensis,Siphoneugena.densiflora,Solanum.rufescens,Solanum.swartzianum,Symplocos.variabilis,Aureliana.fasciculata,Bromeliaceae.sp.1,Bromeliaceae.sp.2,Campomanesia.xanthocarpa,Coccocypselum.krauseanum,Coccosypselum.hasserianum,Coussarea.contracta,Drymis.brasiliensis,Drymis.winterii,Eugenia.mosenii,Geonoma.sp.1,Hedychium.coronarium,Ixora.heterodoxa,Loranthaceae.sp,Miconia.cubatanensis,Miconia.doriana,Mollinedia.floribunda,Myrcia.sp.3,Nectandra.grandiflora,Ocotea.aeciphila,Ocotea.odorifera,Ocotea.sp.1,Ouratea.vaccinioides,Psittacanthus.sp.2,Solanum.americanum,Symplocos.tetrandra,Abuta.sellowiana,Allibertia.mycifolia,Anthurium.scandens,Cabralea.canjerana,Celtis.iguaneae,Codonantha.cordifolia,Cryptocaria.moschata,Cybianthus.peruvianus,Dichorisandra.thyrsiflora,Galium.hypocarpium,Gomidesia.fenzliana,Guarea.macrophylla,Guatteria.dusenii,Heteropsis..rigidifolia,Heteropsis.sp.1,Lantana.camara,Lauraceae.sp.1,Leandra.barbinervis,Leandra.xanthocona,Maytenus.litoralis,Miconia.mistiflora,Mollinedia.uleana,Nectandra.mollis,Ocotea.corymbosa,Ocotea.pulchella,Oreopanax.sp,Peschiera.catharinensis,Phoradendron.crassifolium,Poaceae.sp,Psittacanthus.sp.1,Rhipsalis.eliptica,Rhipsalis.paradoxa,Rhipsalis.sp.1,Rollinia.sericea,Smylax.elastica,Solanum.argenteum,Solanum.bullatum,Tapirira.guianensis,Zanthoxylum.riedelianum
Chiroxiphia_caudata,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpornis_cucullata,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Turdus_albicollis,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachyphonus_coronatus,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_rufiventris,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Penelope_obscura,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trichothraupis_melanops,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis_cyanoptera,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphonia_pectoralis,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tangara_cyanocephala,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
